Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
MAnderson017_902_R225-2_S59.sort.GT,n,24676,0.99124,0.00852,0.00024,0.99124
MAnderson017_905_R225-2_S102.sort.GT,1,226,0.00908,0.00908,0.00044,0.99048
MAnderson017_905_R225-2_S102.sort.GT,2,11,0.00044,0.00908,0.00044,0.99048
MAnderson017_905_R225-2_S102.sort.GT,n,24657,0.99048,0.00908,0.00044,0.99048
MAnderson017_907_R225-2_S35.sort.GT,1,184,0.0074,0.0074,0.00314,0.98946
MAnderson017_907_R225-2_S35.sort.GT,2,78,0.00314,0.0074,0.00314,0.98946
MAnderson017_907_R225-2_S35.sort.GT,n,24604,0.98946,0.0074,0.00314,0.98946
MAnderson017_908_R225-2_S83.sort.GT,1,220,0.00884,0.00884,0.00044,0.99072
MAnderson017_908_R225-2_S83.sort.GT,2,11,0.00044,0.00884,0.00044,0.99072
MAnderson017_908_R225-2_S83.sort.GT,n,24667,0.99072,0.00884,0.00044,0.99072
MAnderson017_911_R225-2_S41.sort.GT,1,214,0.0086,0.0086,0.0002,0.9912
MAnderson017_911_R225-2_S41.sort.GT,2,5,0.0002,0.0086,0.0002,0.9912
MAnderson017_911_R225-2_S41.sort.GT,n,24678,0.9912,0.0086,0.0002,0.9912
MAnderson017_912_R225-2_S39.sort.GT,1,213,0.00855,0.00855,0.0006,0.99084
MAnderson017_912_R225-2_S39.sort.GT,2,15,0.0006,0.00855,0.0006,0.99084
MAnderson017_912_R225-2_S39.sort.GT,n,24670,0.99084,0.00855,0.0006,0.99084
MAnderson017_914_R225-2_S120.sort.GT,1,265,0.01064,0.01064,0.0012,0.98816
MAnderson017_914_R225-2_S120.sort.GT,2,30,0.0012,0.01064,0.0012,0.98816
MAnderson017_914_R225-2_S120.sort.GT,n,24612,0.98816,0.01064,0.0012,0.98816
MAnderson017_915_R225-2_S37.sort.GT,1,205,0.00823,0.00823,0.00024,0.99153
MAnderson017_915_R225-2_S37.sort.GT,2,6,0.00024,0.00823,0.00024,0.99153
MAnderson017_915_R225-2_S37.sort.GT,n,24694,0.99153,0.00823,0.00024,0.99153
MAnderson017_917_R225-2_S73.sort.GT,1,220,0.00884,0.00884,0.00036,0.9908
MAnderson017_917_R225-2_S73.sort.GT,2,9,0.00036,0.00884,0.00036,0.9908
MAnderson017_917_R225-2_S73.sort.GT,n,24653,0.9908,0.00884,0.00036,0.9908
MAnderson017_918_R225-2_S117.sort.GT,1,212,0.00851,0.00851,0.00044,0.99104
MAnderson017_918_R225-2_S117.sort.GT,2,11,0.00044,0.00851,0.00044,0.99104
MAnderson017_918_R225-2_S117.sort.GT,n,24678,0.99104,0.00851,0.00044,0.99104
MAnderson017_921_R225-2_S82.sort.GT,1,197,0.00791,0.00791,0.00056,0.99152
MAnderson017_921_R225-2_S82.sort.GT,2,14,0.00056,0.00791,0.00056,0.99152
MAnderson017_921_R225-2_S82.sort.GT,n,24680,0.99152,0.00791,0.00056,0.99152
MAnderson017_923_R225-2_S80.sort.GT,1,210,0.00843,0.00843,0.00048,0.99109
MAnderson017_923_R225-2_S80.sort.GT,2,12,0.00048,0.00843,0.00048,0.99109
MAnderson017_923_R225-2_S80.sort.GT,n,24685,0.99109,0.00843,0.00048,0.99109
MAnderson017_924_R225-2_S42.sort.GT,1,215,0.00864,0.00864,0.00032,0.99104
