Progeny/Strain, allele, count, prop, a_prop, b_prop, h_prop
MAnderson017_923_R225-2_S80_R1_001_val_1.sort.GT,1,294,0.01249,0.01249,0.00021,0.9873
MAnderson017_923_R225-2_S80_R1_001_val_1.sort.GT,2,5,0.00021,0.01249,0.00021,0.9873
MAnderson017_923_R225-2_S80_R1_001_val_1.sort.GT,n,23247,0.9873,0.01249,0.00021,0.9873
MAnderson017_924_R225-2_S42_R1_001_val_1.sort.GT,1,298,0.01266,0.01266,0.00051,0.98683
MAnderson017_924_R225-2_S42_R1_001_val_1.sort.GT,2,12,0.00051,0.01266,0.00051,0.98683
MAnderson017_924_R225-2_S42_R1_001_val_1.sort.GT,n,23233,0.98683,0.01266,0.00051,0.98683
MAnderson017_925_R225-2_S48_R1_001_val_1.sort.GT,1,4192,0.17821,0.17821,0.00225,0.81954
MAnderson017_925_R225-2_S48_R1_001_val_1.sort.GT,2,53,0.00225,0.17821,0.00225,0.81954
MAnderson017_925_R225-2_S48_R1_001_val_1.sort.GT,n,19278,0.81954,0.17821,0.00225,0.81954
MAnderson017_931_R225-2_S91_R1_001_val_1.sort.GT,1,315,0.01338,0.01338,0.00025,0.98636
MAnderson017_931_R225-2_S91_R1_001_val_1.sort.GT,2,6,0.00025,0.01338,0.00025,0.98636
MAnderson017_931_R225-2_S91_R1_001_val_1.sort.GT,n,23220,0.98636,0.01338,0.00025,0.98636
MAnderson017_932_R225-2_S38_R1_001_val_1.sort.GT,1,327,0.01389,0.01389,0.0003,0.98582
MAnderson017_932_R225-2_S38_R1_001_val_1.sort.GT,2,7,0.0003,0.01389,0.0003,0.98582
MAnderson017_932_R225-2_S38_R1_001_val_1.sort.GT,n,23213,0.98582,0.01389,0.0003,0.98582
MAnderson017_935_R225-2_S75_R1_001_val_1.sort.GT,1,349,0.01482,0.01482,0.00021,0.98496
MAnderson017_935_R225-2_S75_R1_001_val_1.sort.GT,2,5,0.00021,0.01482,0.00021,0.98496
MAnderson017_935_R225-2_S75_R1_001_val_1.sort.GT,n,23190,0.98496,0.01482,0.00021,0.98496
MAnderson017_936_R225-2_S74_R1_001_val_1.sort.GT,1,327,0.01389,0.01389,0.0003,0.98581
MAnderson017_936_R225-2_S74_R1_001_val_1.sort.GT,2,7,0.0003,0.01389,0.0003,0.98581
MAnderson017_936_R225-2_S74_R1_001_val_1.sort.GT,n,23208,0.98581,0.01389,0.0003,0.98581
MAnderson017_938_R225-2_S81_R1_001_val_1.sort.GT,1,322,0.01367,0.01367,0.00038,0.98594
MAnderson017_938_R225-2_S81_R1_001_val_1.sort.GT,2,9,0.00038,0.01367,0.00038,0.98594
MAnderson017_938_R225-2_S81_R1_001_val_1.sort.GT,n,23217,0.98594,0.01367,0.00038,0.98594
MAnderson017_939_R225-2_S100_R1_001_val_1.sort.GT,1,327,0.01389,0.01389,0.0003,0.98582
MAnderson017_939_R225-2_S100_R1_001_val_1.sort.GT,2,7,0.0003,0.01389,0.0003,0.98582
MAnderson017_939_R225-2_S100_R1_001_val_1.sort.GT,n,23214,0.98582,0.01389,0.0003,0.98582
MAnderson017_940_R225-2_S43_R1_001_val_1.sort.GT,1,346,0.0147,0.0147,0.00013,0.98517
MAnderson017_940_R225-2_S43_R1_001_val_1.sort.GT,2,3,0.00013,0.0147,0.00013,0.98517
MAnderson017_940_R225-2_S43_R1_001_val_1.sort.GT,n,23190,0.98517,0.0147,0.00013,0.98517
MAnderson017_946_R225-2_S47_R1_001_val_1.sort.GT,1,333,0.01414,0.01414,0.00025,0.98561
MAnderson017_946_R225-2_S47_R1_001_val_1.sort.GT,2,6,0.00025,0.01414,0.00025,0.98561
MAnderson017_946_R225-2_S47_R1_001_val_1.sort.GT,n,23211,0.98561,0.01414,0.00025,0.98561
MAnderson017_951_R225-2_S90_R1_001_val_1.sort.GT,1,473,0.02013,0.02013,0.00043,0.97945
MAnderson017_951_R225-2_S90_R1_001_val_1.sort.GT,2,10,0.00043,0.02013,0.00043,0.97945
MAnderson017_951_R225-2_S90_R1_001_val_1.sort.GT,n,23020,0.97945,0.02013,0.00043,0.97945
MAnderson017_952_R225-2_S61_R1_001_val_1.sort.GT,1,23466,0.99843,0.99843,9e-05,0.00149
MAnderson017_952_R225-2_S61_R1_001_val_1.sort.GT,2,2,9e-05,0.99843,9e-05,0.00149
MAnderson017_952_R225-2_S61_R1_001_val_1.sort.GT,n,35,0.00149,0.99843,9e-05,0.00149
MAnderson017_953_R225-2_S72_R1_001_val_1.sort.GT,1,23469,0.99809,0.99809,4e-05,0.00187
MAnderson017_953_R225-2_S72_R1_001_val_1.sort.GT,2,1,4e-05,0.99809,4e-05,0.00187
MAnderson017_953_R225-2_S72_R1_001_val_1.sort.GT,n,44,0.00187,0.99809,4e-05,0.00187
MAnderson017_954_R225-2_S118_R1_001_val_1.sort.GT,1,23475,0.99843,0.99843,0.0,0.00157
MAnderson017_954_R225-2_S118_R1_001_val_1.sort.GT,2,0,0.0,0.99843,0.0,0.00157
MAnderson017_954_R225-2_S118_R1_001_val_1.sort.GT,n,37,0.00157,0.99843,0.0,0.00157
MAnderson017_955_R225-2_S119_R1_001_val_1.sort.GT,1,23474,0.9986,0.9986,4e-05,0.00136
MAnderson017_955_R225-2_S119_R1_001_val_1.sort.GT,2,1,4e-05,0.9986,4e-05,0.00136
MAnderson017_955_R225-2_S119_R1_001_val_1.sort.GT,n,32,0.00136,0.9986,4e-05,0.00136
MAnderson017_959_R225-2_S55_R1_001_val_1.sort.GT,1,23482,0.99868,0.99868,0.0,0.00132
MAnderson017_959_R225-2_S55_R1_001_val_1.sort.GT,2,0,0.0,0.99868,0.0,0.00132
MAnderson017_959_R225-2_S55_R1_001_val_1.sort.GT,n,31,0.00132,0.99868,0.0,0.00132
MAnderson017_960_R225-2_S56_R1_001_val_1.sort.GT,1,23417,0.99838,0.99838,4e-05,0.00158
MAnderson017_960_R225-2_S56_R1_001_val_1.sort.GT,2,1,4e-05,0.99838,4e-05,0.00158
MAnderson017_960_R225-2_S56_R1_001_val_1.sort.GT,n,37,0.00158,0.99838,4e-05,0.00158
MAnderson017_961_R225-2_S116_R1_001_val_1.sort.GT,1,23424,0.99868,0.99868,4e-05,0.00128
MAnderson017_961_R225-2_S116_R1_001_val_1.sort.GT,2,1,4e-05,0.99868,4e-05,0.00128
MAnderson017_961_R225-2_S116_R1_001_val_1.sort.GT,n,30,0.00128,0.99868,4e-05,0.00128
MAnderson017_964_R225-2_S60_R1_001_val_1.sort.GT,1,436,0.01852,0.01852,0.00025,0.98122
MAnderson017_964_R225-2_S60_R1_001_val_1.sort.GT,2,6,0.00025,0.01852,0.00025,0.98122
MAnderson017_964_R225-2_S60_R1_001_val_1.sort.GT,n,23099,0.98122,0.01852,0.00025,0.98122
MAnderson017_967_R225-2_S121_R1_001_val_1.sort.GT,1,517,0.02196,0.02196,0.00072,0.97732
MAnderson017_967_R225-2_S121_R1_001_val_1.sort.GT,2,17,0.00072,0.02196,0.00072,0.97732
MAnderson017_967_R225-2_S121_R1_001_val_1.sort.GT,n,23011,0.97732,0.02196,0.00072,0.97732
MAnderson017_968_R225-2_S57_R1_001_val_1.sort.GT,1,4166,0.17737,0.17737,0.05863,0.764
MAnderson017_968_R225-2_S57_R1_001_val_1.sort.GT,2,1377,0.05863,0.17737,0.05863,0.764
MAnderson017_968_R225-2_S57_R1_001_val_1.sort.GT,n,17944,0.764,0.17737,0.05863,0.764
MAnderson017_NCL1_R225-2_S62_R1_001_val_1.sort.GT,1,1169,0.9582,0.9582,0.02131,0.02049
MAnderson017_NCL1_R225-2_S62_R1_001_val_1.sort.GT,2,26,0.02131,0.9582,0.02131,0.02049
MAnderson017_NCL1_R225-2_S62_R1_001_val_1.sort.GT,n,25,0.02049,0.9582,0.02131,0.02049
MAnderson017_NCL2_R225-2_S103_R1_001_val_1.sort.GT,1,156,0.79188,0.79188,0.16244,0.04569
MAnderson017_NCL2_R225-2_S103_R1_001_val_1.sort.GT,2,32,0.16244,0.79188,0.16244,0.04569
MAnderson017_NCL2_R225-2_S103_R1_001_val_1.sort.GT,n,9,0.04569,0.79188,0.16244,0.04569
MAnderson017_NCL_R225-2_S122_R1_001_val_1.sort.GT,1,709,1.0,1.0,0.0,0.0
MAnderson017_NCL_R225-2_S122_R1_001_val_1.sort.GT,2,0,0.0,1.0,0.0,0.0
MAnderson017_NCL_R225-2_S122_R1_001_val_1.sort.GT,n,0,0.0,1.0,0.0,0.0
